"Lng","Lat","tradeTime","activeDays","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
116.453712,39.940847,"2016-12-04",789,84,1580,74999,210.67,4,2,1,3,6,"plate","2000","hardcover","steel-concrete composite",0.5,"Elevator","Five years property","No subway",7,82311
116.486595,39.917578,"2016-07-25",656,17,1150,52668,218.35,4,2,1,2,14,"plate","2005","hardcover","steel-concrete composite",0.333,"Elevator","Five years property","Subway",7,84981
116.475515,40.008231,"2016-06-29",622,83,213,36417,58.49,1,0,1,0,30,"combination of plate and tower","2004","Simplicity","steel-concrete composite",0.429,"Elevator","No five years property","Subway",7,50916
116.373014,39.859478,"2016-06-27",598,119,160,30189,53,1,1,1,1,18,"tower","1998","Simplicity","steel-concrete composite",0.25,"Elevator","Five years property","Subway",2,59797
116.284755,39.93453,"2016-10-30",715,13,210,40385,52,1,0,1,1,19,"tower","2009","Simplicity","steel-concrete composite",0.111,"Elevator","No five years property","Subway",8,70141
116.450729,39.977923,"2016-08-15",630,37,1750,85366,205,3,2,1,2,27,"plate","2010","rough","steel-concrete composite",0.667,"Elevator","No five years property","Subway",7,109848
116.369475,40.069842,"2016-07-12",580,85,630,39378,159.99,3,2,1,2,5,"plate","2004","hardcover","mixed",0.5,"No elevator","Five years property","No subway",8,67509
116.480923,39.900942,"2016-09-20",640,31,845,33988,248.62,2,2,1,2,14,"plate","2004","hardcover","steel-concrete composite",1,"Elevator","No five years property","Subway",7,79235
116.434144,39.892211,"2016-08-08",594,78,723,65407,110.54,3,1,1,1,6,"plate","1996","hardcover","mixed",0.333,"No elevator","Five years property","Subway",1,85681
116.376709,39.867222,"2016-06-19",540,57,240,42165,56.92,2,1,1,1,18,"tower","1996","Simplicity","steel-concrete composite",0.25,"Elevator","No five years property","Subway",2,58741
116.485296,39.991732,"2016-09-27",628,268,590,51687,114.15,2,2,1,1,28,"tower","2001","other","steel-concrete composite",0.375,"Elevator","No five years property","Subway",7,53538
116.416572,40.063191,"2016-09-08",603,19,354.5,50672,69.96,3,1,1,2,11,"combination of plate and tower","2010","other","steel-concrete composite",0.2,"Elevator","No five years property","Subway",6,45854
116.257104,39.873962,"2016-09-28",621,138,210,44436,47.26,1,1,1,1,9,"combination of plate and tower","2011","Simplicity","steel-concrete composite",0.098,"Elevator","No five years property","Subway",2,70205
116.513848,39.875068,"2016-07-06",535,115,218,29416,74.11,2,1,1,1,7,"plate","1993","Simplicity","brick and concrete",0.25,"No elevator","Five years property","Subway",7,45332
116.257104,39.873962,"2016-08-21",573,62,140,25455,55,1,0,1,1,9,"combination of plate and tower","2011","hardcover","steel-concrete composite",0.098,"Elevator","No five years property","Subway",2,70205
116.567579,40.076173,"2016-08-30",580,114,340,24029,141.5,3,2,1,2,12,"combination of plate and tower","2004","hardcover","mixed",0.25,"Elevator","Five years property","No subway",13,39895
116.493655,39.905367,"2016-08-26",569,212,540,58888,91.7,2,2,1,1,27,"tower","2006","hardcover","steel-concrete composite",0.429,"Elevator","Five years property","Subway",7,65499
116.297022,39.788637,"2016-06-25",507,52,110,27195,40.45,1,1,1,1,7,"plate","2002","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",4,44170
116.4388,40.054941,"2016-07-28",516,76,340,64151,53,1,1,1,1,17,"combination of plate and tower","2011","hardcover","steel-concrete composite",0.174,"Elevator","No five years property","Subway",7,77695
116.190634,39.768886,"2016-08-05",524,77,245,30625,80,2,1,1,1,9,"plate","2012","hardcover","steel-concrete composite",0.5,"Elevator","No five years property","Subway",5,44647
116.330345,39.984336,"2016-08-14",533,114,610,103566,58.9,2,1,1,1,6,"plate","1989","hardcover","mixed",0.333,"No elevator","No five years property","Subway",8,114107
116.254212,40.216336,"2016-07-22",507,27,224.5,19026,118,2,2,1,2,6,"plate","1998","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",6,38062
116.60292,39.909042,"2016-08-30",540,94,435,49505,87.87,2,1,1,1,18,"combination of plate and tower","2011","other","steel-concrete composite",0.667,"Elevator","No five years property","No subway",7,54019
116.324898,39.891441,"2016-09-05",544,47,410,53178,77.1,3,1,1,1,24,"tower","1991","Simplicity","steel-concrete composite",0.25,"Elevator","Five years property","Subway",2,62231
116.232119,40.223852,"2016-09-04",539,41,240,28784,83.38,1,1,1,1,15,"tower","2009","Simplicity","steel-concrete composite",0.143,"Elevator","No five years property","Subway",6,41887
116.683117,40.127185,"2016-08-26",530,61,470,32879,142.95,3,2,1,2,5,"plate","2004","hardcover","mixed",0.5,"Elevator","Five years property","No subway",13,37937
116.45831,39.923422,"2016-08-24",520,67,355,57677,61.55,1,0,1,1,29,"tower","2008","hardcover","steel-concrete composite",0.231,"Elevator","Five years property","Subway",7,75090
116.422479,40.06389,"2016-07-31",494,59,190,31240,60.82,1,1,1,1,19,"tower","2004","Simplicity","steel-concrete composite",0.15,"Elevator","Five years property","Subway",6,43211
116.254212,40.216336,"2016-08-31",526,41,321,20523,156.41,3,1,1,2,5,"plate","2001","hardcover","steel-concrete composite",0.25,"No elevator","No five years property","No subway",6,38062
116.318694,40.087485,"2016-07-04",467,65,350,27853,125.66,3,1,1,2,9,"plate","2008","Simplicity","steel-concrete composite",0.5,"Elevator","Five years property","No subway",6,36774
116.164506,39.731851,"2016-08-12",503,64,198,20625,96,3,1,1,1,6,"plate","2004","Simplicity","mixed",0.5,"No elevator","Five years property","Subway",5,32095
116.665923,40.186753,"2016-08-31",523,51,500,44147,113.26,3,2,1,2,11,"plate","2012","hardcover","steel-concrete composite",0.333,"Elevator","No five years property","No subway",13,43947
116.314388,39.972347,"2016-08-19",508,18,655,43149,151.8,2,1,1,1,22,"tower","1998","Simplicity","steel-concrete composite",0.286,"Elevator","Five years property","Subway",8,75591
116.378537,39.879671,"2016-12-09",618,79,1135,61968,183.16,4,1,1,2,18,"combination of plate and tower","2003","other","steel-concrete composite",0.286,"Elevator","No five years property","Subway",10,93400
116.284755,39.93453,"2017-03-22",721,117,280,67470,41.5,1,0,1,1,19,"tower","2009","hardcover","steel-concrete composite",0.111,"Elevator","No five years property","Subway",8,70141
116.413046,40.056407,"2016-07-15",470,110,346,34992,98.88,4,1,1,2,5,"plate","1998","Simplicity","brick and concrete",0.5,"No elevator","Five years property","No subway",6,47772
116.559275,40.113935,"2017-01-22",659,81,530,26100,203.07,6,2,1,2,6,"plate","1998","hardcover","steel-concrete composite",0.5,"No elevator","Five years property","No subway",13,42336
116.474383,39.902184,"2016-06-29",451,43,406,63577,63.86,1,1,1,1,16,"combination of plate and tower","2007","hardcover","steel-concrete composite",0.25,"Elevator","No five years property","Subway",7,91192
116.384103,39.972885,"2016-08-15",498,213,642,89665,71.6,2,1,1,1,13,"combination of plate and tower","1993","other","mixed",0.222,"Elevator","No five years property","No subway",10,129541
116.497474,39.810115,"2016-07-07",459,266,165,29741,55.48,1,1,1,1,24,"tower","2009","hardcover","steel-concrete composite",0.25,"Elevator","No five years property","Subway",3,54282
116.403304,39.891691,"2016-08-31",511,176,400,66879,59.81,1,1,1,1,9,"combination of plate and tower","2002","hardcover","steel-concrete composite",0.167,"Elevator","Five years property","Subway",10,73910
116.386555,40.0865,"2016-07-28",474,83,200,41667,48,1,0,1,1,9,"plate","2009","hardcover","steel-concrete composite",0.333,"Elevator","Five years property","No subway",6,47574
116.364028,39.870465,"2016-06-27",442,93,200,48310,41.4,1,1,1,1,6,"plate","1990","Simplicity","mixed",0.333,"No elevator","No five years property","No subway",2,62103
116.461949,40.003018,"2016-06-24",438,64,845,43772,193.05,4,2,1,3,17,"combination of plate and tower","2003","hardcover","steel-concrete composite",0.5,"Elevator","Five years property","Subway",7,60653
116.483319,39.915337,"2016-07-23",466,82,300,43809,68.48,3,1,1,1,14,"tower","1994","hardcover","steel-concrete composite",0.143,"Elevator","Five years property","Subway",7,76001
116.516087,39.923147,"2016-07-27",469,35,225,40910,55,1,0,1,1,9,"tower","2005","hardcover","steel-concrete composite",0.25,"Elevator","Five years property","No subway",7,60134
116.555729,40.162058,"2016-08-10",481,18,395,44887,88,3,4,1,3,6,"plate","2009","Simplicity","brick and concrete",0.5,"No elevator","No five years property","No subway",13,44235
116.444356,39.932936,"2016-12-29",622,110,392.5,83582,46.96,1,0,1,1,17,"tower","2003","hardcover","steel-concrete composite",0.4,"Elevator","No five years property","Subway",7,83273
116.517555,39.872965,"2016-07-17",456,80,200,33406,59.87,2,1,1,1,6,"plate","1984","hardcover","mixed",0.333,"No elevator","Five years property","No subway",7,46571
116.472165,39.903144,"2016-08-13",482,195,300,50092,59.89,2,1,1,1,6,"plate","1992","hardcover","mixed",0.333,"No elevator","No five years property","Subway",7,60994
116.471754,40.02946,"2016-09-12",513,93,510,75333,67.7,1,2,1,1,28,"tower","2009","Simplicity","steel-concrete composite",0.333,"Elevator","Five years property","Subway",7,76292
116.249496,40.221791,"2016-08-08",477,70,102,24286,42,1,1,1,1,6,"plate","1989","Simplicity","mixed",0.333,"No elevator","Five years property","Subway",6,37612
116.309431,39.842691,"2016-07-06",444,30,288,41728,69.02,1,1,1,1,26,"tower","2006","Simplicity","steel-concrete composite",0.3,"Elevator","No five years property","Subway",2,58879
116.330357,39.692063,"2016-09-07",506,48,468,22076,212,4,2,1,1,15,"plate","2014","rough","steel-concrete composite",0.5,"Elevator","No five years property","Subway",4,43597
116.43164,39.904426,"2016-07-30",466,88,450,59761,75.3,2,1,1,1,16,"combination of plate and tower","2006","rough","steel-concrete composite",0.25,"Elevator","No five years property","Subway",1,86302
116.4388,40.054941,"2016-07-21",454,61,475,70381,67.49,2,1,1,2,17,"combination of plate and tower","2012","hardcover","steel-concrete composite",0.174,"Elevator","No five years property","Subway",7,77695
116.457699,39.944441,"2016-06-20",421,65,240,40000,60,1,0,1,1,5,"combination of plate and tower","2010","hardcover","steel-concrete composite",0.128,"Elevator","No five years property","Subway",7,79727
116.249496,40.221791,"2016-07-26",457,4,360,24507,146.9,3,2,1,2,7,"plate","Î´Öª","hardcover","mixed",0.5,"No elevator","Five years property","No subway",6,37612
116.425063,40.044097,"2016-12-18",598,162,202,39608,51,1,1,1,1,13,"combination of plate and tower","2011","Simplicity","steel-concrete composite",0.182,"Elevator","Five years property","Subway",7,52870
116.334817,39.884391,"2016-07-03",430,136,240,70589,34,1,1,1,2,18,"plate","2009","hardcover","steel-concrete composite",0.222,"Elevator","No five years property","No subway",10,53521
116.22946,40.228274,"2016-09-21",509,33,265,30566,86.7,2,1,1,1,6,"plate","1996","hardcover","brick and concrete",0.333,"No elevator","No five years property","Subway",6,34346
116.509143,39.925387,"2016-07-19",443,44,355,40909,86.78,2,2,1,1,33,"tower","2011","Simplicity","steel-concrete composite",0.3,"Elevator","No five years property","Subway",7,56336
116.474014,39.913424,"2016-10-29",545,62,389,63771,61,2,1,1,1,14,"combination of plate and tower","1985","Simplicity","steel-concrete composite",0.125,"Elevator","No five years property","Subway",7,66280
116.606151,40.051276,"2017-01-22",629,172,300,29127,103,3,1,1,1,6,"plate","1998","hardcover","mixed",0.5,"No elevator","Five years property","No subway",7,38468
116.399693,39.972072,"2016-09-11",495,92,509,67678,75.21,2,1,1,1,16,"plate","1992","hardcover","steel-concrete composite",0.158,"Elevator","Five years property","Subway",7,71985
116.560389,40.094933,"2016-09-04",487,78,340,25000,136,3,2,1,2,6,"plate","2000","Simplicity","mixed",0.5,"No elevator","Five years property","Subway",13,45162
116.368804,39.873549,"2016-07-13",433,39,307,51167,60,2,1,1,1,6,"plate","1989","Simplicity","mixed",0.5,"No elevator","No five years property","No subway",2,60129
116.154608,39.726495,"2016-07-27",446,15,199.5,22167,90,2,1,1,1,15,"plate","2010","rough","steel-concrete composite",0.25,"Elevator","No five years property","No subway",5,35310
116.16608,39.771077,"2016-09-30",511,264,210.5,32377,65,1,1,1,1,11,"tower","2011","hardcover","steel-concrete composite",0.167,"Elevator","No five years property","No subway",5,34373
116.372222,39.880938,"2016-09-15",495,34,900,56250,160,5,2,1,2,6,"plate","1999","other","mixed",0.5,"No elevator","No five years property","Subway",10,93339
116.422211,40.011387,"2016-07-24",442,16,298,35059,85,1,1,1,1,22,"combination of plate and tower","2009","other","steel-concrete composite",0.19,"Elevator","No five years property","Subway",7,40470
116.605035,40.051164,"2016-09-19",499,72,230,25843,89,3,1,1,1,6,"plate","1992","other","brick and concrete",0.5,"No elevator","No five years property","No subway",7,39605
116.317831,40.039,"2016-09-12",492,33,1388,53799,258,5,2,1,3,6,"plate","1998","hardcover","mixed",0.5,"No elevator","No five years property","No subway",8,85111
116.259318,40.217911,"2016-07-08",424,14,257,23364,110,2,1,1,1,6,"plate","1996","other","mixed",0.5,"No elevator","No five years property","No subway",6,36436
116.227892,39.780755,"2016-09-26",503,19,296,27664,107,3,1,1,1,6,"plate","2003","Simplicity","mixed",0.5,"No elevator","No five years property","No subway",5,31653
116.52387,39.923283,"2016-07-16",430,3,470,32794,143.32,1,0,0,0,32,"tower","Î´Öª","Simplicity","steel-concrete composite",0.5,"Elevator","Five years property","Subway",7,30864
116.238792,39.852889,"2016-07-11",423,29,208,31288,66.48,1,1,1,1,6,"plate","2004","other","mixed",0.5,"No elevator","Five years property","No subway",2,43567
116.47773,40.002156,"2016-09-07",479,61,650,49243,132,4,1,1,2,26,"tower","1997","hardcover","steel-concrete composite",0.25,"Elevator","Five years property","Subway",7,60348
116.508181,39.807662,"2016-08-27",468,96,127,26805,47.38,1,1,0,1,16,"tower","2008","Simplicity","steel-concrete composite",0.2,"Elevator","Five years property","Subway",3,28609
116.508181,39.807662,"2016-08-29",470,154,145,27272,53.17,1,1,0,0,16,"tower","2008","Simplicity","steel-concrete composite",0.2,"Elevator","No five years property","Subway",3,28609
116.437251,39.962363,"2016-06-28",408,132,270,51292,52.64,2,1,1,1,5,"plate","1979","hardcover","mixed",0.333,"No elevator","Five years property","Subway",7,65898
116.351677,39.980567,"2016-08-24",463,76,348,58000,60,1,1,1,1,18,"tower","1998","Simplicity","steel-concrete composite",0.2,"Elevator","Five years property","Subway",8,74710
116.364028,39.870465,"2016-07-11",420,130,248,45091,55,2,1,1,1,6,"plate","1990","hardcover","mixed",0.5,"No elevator","Five years property","No subway",2,62103
116.471203,39.876684,"2016-09-05",471,128,475,34971,135.83,3,1,1,2,22,"tower","1998","Simplicity","steel-concrete composite",0.25,"Elevator","Five years property","Subway",7,54180
116.164506,39.731851,"2016-08-23",457,129,188,21600,87.04,2,1,1,1,6,"plate","2004","Simplicity","mixed",0.5,"No elevator","Five years property","Subway",5,32095
116.268601,39.933567,"2016-06-26",399,63,610,64956,93.91,2,2,1,2,9,"plate","2003","hardcover","steel-concrete composite",0.333,"Elevator","Five years property","No subway",8,91180
116.511545,39.904464,"2016-12-30",581,243,210,42000,50,1,1,1,1,17,"tower","2010","hardcover","steel-concrete composite",0.105,"Elevator","Five years property","Subway",7,59025
116.342088,39.749733,"2016-06-19",385,263,220,30051,73.21,2,1,1,1,6,"plate","1992","hardcover","mixed",0.5,"No elevator","Five years property","Subway",4,41149
116.250662,39.910338,"2016-07-12",409,21,283,44116,64.15,2,1,1,1,5,"plate","1981","hardcover","mixed",0.333,"No elevator","Five years property","Subway",9,56659
116.227892,39.780755,"2016-08-17",443,88,210,22341,94,2,2,1,1,6,"plate","2005","other","mixed",0.5,"No elevator","Five years property","No subway",5,31653
116.28592,39.935122,"2016-07-06",400,80,580,46512,124.7,3,2,1,1,6,"plate","1998","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",8,67445
116.451239,39.960643,"2016-07-26",420,51,677,40759,166.1,3,1,1,1,14,"combination of plate and tower","2002","Simplicity","steel-concrete composite",0.2,"Elevator","No five years property","No subway",7,58862
116.117019,39.93386,"2016-08-31",455,114,153,24252,63.09,2,1,1,1,6,"plate","1990","hardcover","mixed",0.333,"No elevator","Five years property","No subway",12,39381
116.456102,39.931183,"2016-07-07",400,24,345,56651,60.9,2,1,1,1,5,"plate","1976","Simplicity","mixed",0.333,"No elevator","Five years property","Subway",7,74171
116.4471,39.879796,"2016-06-20",383,51,1120,77242,145,3,2,1,2,17,"plate","2004","Simplicity","steel-concrete composite",0.5,"Elevator","Five years property","Subway",1,75950
116.122354,39.937384,"2016-08-01",424,80,251.5,25464,98.77,3,1,1,1,6,"plate","2001","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",12,36358
116.117724,39.941152,"2016-09-30",484,32,460,27480,167.4,4,2,1,2,6,"plate","2005","hardcover","mixed",0.5,"No elevator","No five years property","No subway",12,39492
116.231747,40.230104,"2016-07-28",420,6,190,20041,94.81,2,2,1,1,6,"plate","1996","Simplicity","mixed",0.5,"No elevator","No five years property","No subway",6,33179
116.119651,39.934504,"2016-09-26",480,46,380,22755,167,4,2,1,2,6,"plate","2004","Simplicity","mixed",0.5,"No elevator","No five years property","No subway",12,39294
116.122354,39.937384,"2016-08-14",437,59,365,25000,146,4,1,1,2,5,"plate","2000","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",12,36358
116.122491,39.939735,"2016-07-28",420,16,146,28505,51.22,1,1,1,1,18,"plate","2008","Simplicity","steel-concrete composite",0.5,"Elevator","Five years property","No subway",12,39994
116.118409,39.937888,"2016-08-04",427,12,285,30685,92.88,2,1,1,1,15,"plate","2006","hardcover","steel-concrete composite",0.333,"Elevator","Five years property","No subway",12,38753
116.117019,39.93386,"2016-07-22",414,39,138.9,21403,64.9,2,1,1,1,6,"plate","1989","Simplicity","mixed",0.333,"No elevator","Five years property","No subway",12,39381
116.293654,39.79232,"2016-06-16",377,52,260,15991,162.6,3,2,1,2,6,"plate","1999","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",4,34068
116.48154,39.918388,"2016-08-14",435,61,830,47939,173.14,4,2,1,2,30,"tower","2002","hardcover","steel-concrete composite",0.375,"Elevator","No five years property","Subway",7,77310
116.245538,40.220033,"2016-07-06",396,11,132.7,28606,46.39,2,0,1,1,6,"tower","1982","Simplicity","brick and concrete",0.25,"No elevator","Five years property","Subway",6,42282
116.482231,40.009521,"2016-06-16",375,225,402,70738,56.83,2,1,1,1,6,"plate","1997","hardcover","mixed",0.5,"No elevator","Five years property","Subway",7,66864
116.342963,40.093175,"2016-09-28",478,40,225,44768,50.26,1,1,0,1,11,"plate","2004","Simplicity","steel-concrete composite",0.25,"Elevator","No five years property","Subway",6,53740
116.199293,39.938056,"2017-03-09",637,198,391,39692,98.51,3,1,1,1,6,"plate","1996","Simplicity","mixed",0.333,"No elevator","Five years property","No subway",9,42325
116.421128,40.068301,"2016-08-21",435,33,109,19758,55.17,1,0,0,1,10,"combination of plate and tower","2008","hardcover","steel-concrete composite",0.167,"Elevator","No five years property","Subway",6,24224
116.345863,39.877035,"2016-07-18",400,38,405,56787,71.32,1,1,1,1,20,"combination of plate and tower","2008","Simplicity","steel-concrete composite",0.4,"Elevator","No five years property","No subway",2,81880
116.432684,40.077562,"2016-09-29",470,38,700,29615,236.37,6,2,1,4,12,"plate","2008","Simplicity","steel-concrete composite",0.5,"Elevator","No five years property","No subway",6,38384
116.661432,40.180564,"2016-09-07",445,76,330,16337,202,4,2,1,2,6,"plate","2000","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",13,31282
116.49138,39.938386,"2016-08-12",419,13,990,65637,150.83,2,2,1,2,31,"combination of plate and tower","2005","hardcover","steel-concrete composite",0.444,"Elevator","Five years property","Subway",7,91022
116.673912,40.209832,"2016-07-31",406,41,258,28709,89.87,2,2,1,1,6,"plate","2008","Simplicity","steel-concrete composite",0.333,"Elevator","Five years property","No subway",13,35734
116.225111,39.761305,"2016-07-31",405,34,270,30034,89.9,3,2,1,1,15,"plate","2012","Simplicity","steel-concrete composite",0.5,"Elevator","No five years property","No subway",5,40051
116.371787,39.905909,"2016-08-15",420,85,442,76617,57.69,2,0,1,1,12,"plate","1979","Simplicity","steel-concrete composite",0.107,"Elevator","Five years property","Subway",10,92127
116.225476,40.226443,"2016-10-06",473,40,295,25000,118,3,1,1,1,6,"plate","2002","other","mixed",0.5,"No elevator","No five years property","Subway",6,33241
116.333765,40.07892,"2016-07-31",404,22,526,37287,141.07,3,1,1,2,9,"plate","2005","Simplicity","steel-concrete composite",0.333,"Elevator","Five years property","Subway",6,52980
116.529485,39.830024,"2016-06-30",373,22,620,28031,221.19,4,2,1,2,4,"plate","2009","other","steel-concrete composite",0.5,"No elevator","Five years property","No subway",4,55358
116.445996,40.069568,"2016-08-06",408,10,328,26356,124.45,3,1,1,1,6,"plate","2001","rough","mixed",0.5,"No elevator","Five years property","No subway",6,38156
116.3434,40.083322,"2016-08-08",410,53,410,27947,146.71,3,1,1,2,6,"plate","2003","hardcover","mixed",0.5,"No elevator","Five years property","Subway",6,41560
116.305898,39.926084,"2016-09-19",452,104,1013,69006,146.8,2,1,1,2,26,"combination of plate and tower","2006","hardcover","steel-concrete composite",0.667,"Elevator","Five years property","Subway",8,104613
116.454043,39.903712,"2016-06-30",368,1,220.2,46271,47.59,1,1,1,1,6,"plate","1994","other","mixed",0.333,"No elevator","No five years property","Subway",7,68712
116.410182,40.051959,"2016-09-27",455,110,575,47521,121,3,1,1,2,6,"plate","2004","hardcover","brick and concrete",0.5,"No elevator","Five years property","No subway",6,50000
116.296286,39.870107,"2016-08-25",422,53,635,32743,193.94,3,2,1,2,24,"tower","2001","Simplicity","steel-concrete composite",0.286,"Elevator","No five years property","Subway",2,53588
116.665923,40.186753,"2016-07-25",390,25,58,17576,33,1,0,1,1,15,"plate","2014","other","steel-concrete composite",0.13,"Elevator","No five years property","No subway",13,43947
116.421128,40.068301,"2016-07-24",389,8,106.5,20834,51.12,1,0,1,1,10,"combination of plate and tower","2008","hardcover","steel-concrete composite",0.174,"Elevator","No five years property","Subway",6,24224
116.444857,39.954789,"2016-08-02",398,37,470,42708,110.05,2,2,1,2,2,"combination of plate and tower","2006","hardcover","steel-concrete composite",0.067,"Elevator","No five years property","Subway",1,107168
116.564416,39.909334,"2016-08-10",406,87,205,34207,59.93,1,1,1,1,6,"plate","2009","Simplicity","mixed",0.5,"No elevator","No five years property","No subway",7,51863
116.430012,40.066244,"2016-10-31",487,52,580,20579,281.85,5,2,1,3,6,"plate","Î´Öª","Simplicity","mixed",0.5,"No elevator","Five years property","No subway",6,39940
116.308505,39.839489,"2017-04-13",651,93,840,56900,147.63,3,2,1,2,30,"tower","2001","Simplicity","steel-concrete composite",0.214,"Elevator","Five years property","Subway",2,57372
116.520858,39.918846,"2016-07-28",392,222,330,29483,111.93,3,2,1,1,6,"plate","Î´Öª","rough","mixed",0.5,"No elevator","Five years property","Subway",7,56752
116.345466,40.008394,"2016-09-29",453,30,354,56191,63,1,1,1,1,19,"combination of plate and tower","2010","hardcover","steel-concrete composite",0.222,"Elevator","No five years property","Subway",8,60618
116.122354,39.937384,"2016-06-17",349,54,189,23464,80.55,2,1,1,2,6,"plate","2000","Simplicity","mixed",0.333,"No elevator","Five years property","No subway",12,36358
116.5038376,39.9307251,"2016-07-29",391,26,1890,60823,310.74,4,2,1,3,32,"plate","2010","hardcover","steel-concrete composite",0.333,"No elevator","No five years property","No subway",7,86411
116.418443,39.866651,"2016-08-16",409,310,246.8,46567,53,2,1,1,1,6,"plate","1975","Simplicity","mixed",0.333,"No elevator","No five years property","No subway",1,66495
116.437705,39.898038,"2016-07-31",392,60,1020,82259,124,3,2,1,2,12,"combination of plate and tower","2005","hardcover","steel-concrete composite",0.333,"Elevator","Five years property","Subway",1,100713
116.387363,39.864499,"2016-07-25",386,55,181,36200,50,1,1,1,1,6,"plate","1990","Simplicity","mixed",0.056,"No elevator","Five years property","No subway",2,52501
116.434166,39.948115,"2017-01-05",548,56,2200,72132,305,3,2,1,3,12,"tower","2008","hardcover","steel-concrete composite",0.75,"Elevator","No five years property","Subway",1,67987
116.491073,39.936639,"2016-06-23",352,31,200,46083,43.4,1,1,1,1,6,"plate","1983","other","brick and concrete",0.333,"No elevator","No five years property","Subway",7,56638
